tumor_progenitor,tumor_terminal,lcmv_progenitor,lcmv_terminal
Fbxo32,Dennd4a,Bad,BC031181
Fgf13,Derl2,Bag2,BC032203
Fgfbp3,Dgat1,Bambi,BC068157
Fgfr1op,Dhrs7,Banf1,Bcl11b
Filip1l,Dlat,Batf,Bcl2a1b
Folr4,Dlg2,Batf3,Bcl2a1d
Fos,Dlgap5,Bbs2,Bcl2l1
Fosb,Dnajb11,BC016495,Bcl2l11
Foxo1,Dnajb4,BC017612,Bhlhe41
Foxp1,Dnmt1,BC018242,Bin1
Foxp4,Dock10,BC021614,Bnip2
Frat1,Dok2,BC023829,Brca2
Frrs1,Dpy30,BC026585,Bscl2
Fryl,Dpysl2,BC026590,Bspry
Fyb,Dsc2,BC029722,Btbd11
Fyn,Dusp14,BC048355,Btbd19
Galm,Dut,BC056474,Btbd8
Galnt14,Dync1i2,Bcap29,Btd
Galnt9,Dync1li2,Bcat1,Btnl5
Gas5,Dynlrb1,Bckdk,C1qtnf6
Gatsl3,E2f7,Bcl2l14,C230081A13Rik
Gdap10,Ebp,Bcl2l2,C330019G07Rik
Gdi2,Ech1,Bcl6,C630004H02Rik
Gimap3,Edaradd,Bclaf1,C87436
Gimap5,Edem1,Bdh1,Cab39
Gltscr2,Eef2k,Bend4,Cables1
Gm11110,Efhd2,Bend5,Calhm2
Gm11346,Ehd1,Birc3,Camk2n1
Gm15800,Ehd4,Birc5,Camsap1
Gm3258,Eif2ak3,Blvrb,Capn2
Gm4759,Eif4e3,Blzf1,Capzb
Gna13,Elmo2,Bmp7,Car2
Gpm6b,Elovl1,Bmyc,Carns1
Gpr146,Emp3,Bpgm,Casp7
Gpr18,Endod1,Bphl,Casp8ap2
Gpr183,Enpp4,Brd8,Cbll1
Gprin3,Enpp5,Bre,Cbwd1
Gramd1b,Entpd1,Bri3bp,Ccdc136
Gramd3,Epas1,Bst2,Ccdc25
Gramd4,Epdr1,Btla,Ccdc82
Grap,Ept1,Bzw2,Ccl3
Gtf2i,Ero1l,C130039O16Rik,Ccl4
Gucy1a3,Erp44,C1qbp,Ccl5
Gypc,Esyt1,C3ar1,Ccl6
Gzf1,Etfb,C8g,Ccl9
Gzmm,Exoc3l,Cacna1a,Ccnd2
H2-K2,F2r,Cacna1d,Ccnd3
H2-Oa,F2rl2,Cacna1s,Ccndbp1
H60b,Fah,Cad,Ccng1
