tumor_progenitor,tumor_terminal,lcmv_progenitor,lcmv_terminal
,,Sell,Vamp3
,,Sema4b,Vamp5
,,Sepp1,Vamp8
,,Serbp1,Vash1
,,Serp1,Vasp
,,Serpina9,Vezf1
,,Serpinc1,Vhl
,,Serpind1,Vill
,,Set,Vmp1
,,Setd4,Vopp1
,,Setx,Vps37a
,,Sf3b3,Vps37b
,,Sfmbt2,Vps37c
,,Sft2d2,Vps54
,,Sfxn1,Vps8
,,Sgms1,Vti1b
,,Sgpp2,Wbp1
,,Sgsh,Wbp2
,,Sh2b3,Wdr31
,,Sh2d1a,Wdr44
,,Sh3bp4,Wdr6
,,Sh3bp5,Wdr81
,,Sh3kbp1,Wdr95
,,Shank1,Wnk1
,,Shcbp1,Xcr1
,,Shisa5,Xpa
,,Shmt1,Yaf2
,,Shmt2,Ypel2
,,Siah1b,Ypel5
,,Sidt1,Zap70
,,Sigirr,Zbtb24
,,Sigmar1,Zbtb38
,,Sik3,Zbtb41
,,Sil1,Zbtb42
,,Sip1,Zbtb49
,,Sit1,Zbtb7a
,,Skap1,Zbtb8a
,,Skp1a,Zc3h13
,,Slain1,Zc3h18
,,Slamf6,Zc3h7a
,,Slc11a2,Zcchc6
,,Slc12a2,Zdhhc18
,,Slc12a8,Zdhhc5
,,Slc15a3,Zeb2
,,Slc16a1,Zfp120
,,Slc16a13,Zfp142
,,Slc16a5,Zfp182
,,Slc17a9,Zfp212
,,Slc19a1,Zfp239
,,Slc22a13b,Zfp251
,,Slc22a17,Zfp263
,,Slc25a13,Zfp287
,,Slc25a17,Zfp382
,,Slc25a19,Zfp395
,,Slc25a26,Zfp397
,,Slc25a3,Zfp418
,,Slc25a32,Zfp420
,,Slc25a4,Zfp446
,,Slc25a42,Zfp512
,,Slc26a11,Zfp619
,,Slc26a2,Zfp652
,,Slc27a1,Zfp677
,,Slc2a1,Zfp68
,,Slc2a6,Zfp688
,,Slc2a9,Zfp715
,,Slc35f2,Zfp738
,,Slc35f5,Zfp740
,,Slc36a3,Zfp763
,,Slc38a1,Zfp790
,,Slc39a11,Zfp809
,,Slc39a14,Zfp821
,,Slc39a8,Zfp830
,,Slc43a1,Zfp870
,,Slc43a3,Zfp871
,,Slc5a3,Zfp93
,,Slc6a6,Zfp954
,,Slc7a1,Zfp958
,,Slc7a5,Zfp961
,,Slc7a6,Zfpl1
,,Slc7a7,Zfyve27
,,Slc9a7,Zfyve28
,,Slco3a1,Zhx3
,,Slco5a1,Zkscan14
,,Slfn1,Zmpste24
,,Slfn2,Zmynd10
,,Slfn5,Zmynd11
,,Slfn8,Zmynd8
,,Slfn9,Zrsr2
,,Smad1,Zscan21
,,Smap1,Zyx
,,Smarcb1,Smarcb1
,,Smc1a,Smc1a
,,Smyd2,Smyd2
,,Smyd5,Smyd5
,,Snapc4,Snapc4
,,Snhg1,Snhg1
,,Snhg4,Snhg4
,,Snora65,Snora65
,,Snrnp200,Snrnp200
,,Snrnp25,Snrnp25
,,Snrpd3,Snrpd3
,,Sntb1,Sntb1
,,Snx30,Snx30
,,Snx5,Snx5
,,Socs1,Socs1
,,Socs3,Socs3
,,Sostdc1,Sostdc1
,,Sowahc,Sowahc
,,Spag5,Spag5
,,Spata2,Spata2
,,Spata6,Spata6
,,Spc24,Spc24
,,Spef2,Spef2
,,Spice1,Spice1
,,Spin4,Spin4
,,Spint1,Spint1
,,Spint2,Spint2
,,Spnb2,Spnb2
,,Spock2,Spock2
,,Spr,Spr
,,Spry1,Spry1
,,Spry2,Spry2
,,Spry4,Spry4
,,Sqrdl,Sqrdl
,,Srek1,Srek1
,,Srfbp1,Srfbp1
,,Srm,Srm
,,Srpk1,Srpk1
,,Srpk2,Srpk2
,,Srsf4,Srsf4
,,Srsf6,Srsf6
,,Ssbp2,Ssbp2
,,Ssh1,Ssh1
,,Ssh2,Ssh2
,,Ssr3,Ssr3
,,Sssca1,Sssca1
,,St13,St13
,,St6gal1,St6gal1
,,Stap1,Stap1
,,Stat2,Stat2
,,Stat4,Stat4
,,Stat5a,Stat5a
,,Stat5b,Stat5b
,,Stk38,Stk38
,,Stk4,Stk4
,,Stmn1,Stmn1
,,Stom,Stom
,,Stoml1,Stoml1
,,Strap,Strap
,,Strbp,Strbp
,,Stt3a,Stt3a
,,Stx19,Stx19
,,Suclg1,Suclg1
,,Suclg2,Suclg2
,,Sumf2,Sumf2
,,Sumo3,Sumo3
,,Supt3h,Supt3h
,,Supv3l1,Supv3l1
,,Suv39h1,Suv39h1
,,Swi5,Swi5
,,Synj2,Synj2
,,Synpo,Synpo
,,Tada2a,Tada2a
,,Taf1d,Taf1d
,,Taf4b,Taf4b
,,Taf6,Taf6
,,Taf6l,Taf6l
,,Tagap,Tagap
,,Tagln2,Tagln2
,,Tanc1,Tanc1
,,Tanc2,Tanc2
,,Tapt1,Tapt1
,,Tars,Tars
,,Tbc1d1,Tbc1d1
,,Tbc1d10a,Tbc1d10a
,,Tbc1d15,Tbc1d15
,,Tbc1d19,Tbc1d19
,,Tbc1d4,Tbc1d4
,,Tbl1x,Tbl1x
,,Tbrg4,Tbrg4
,,Tbxa2r,Tbxa2r
,,Tcerg1,Tcerg1
,,Tcf12,Tcf12
,,Tcf4,Tcf4
,,Tcf7,Tcf7
,,Tcof1,Tcof1
,,Tcp1,Tcp1
,,Tctn2,Tctn2
,,Tecta,Tecta
,,Tespa1,Tespa1
,,Tex10,Tex10
,,Tfb1m,Tfb1m
,,Tfdp1,Tfdp1
,,Tfe3,Tfe3
,,Tfrc,Tfrc
,,Tgfbr3,Tgfbr3
,,Tgif1,Tgif1
,,Tgif2,Tgif2
,,Tgtp1,Tgtp1
,,Tgtp2,Tgtp2
,,Tha1,Tha1
,,Thada,Thada
,,Thap3,Thap3
,,Thg1l,Thg1l
,,Thoc3,Thoc3
,,Thoc5,Thoc5
,,Thoc6,Thoc6
,,Thop1,Thop1
,,Thrap3,Thrap3
,,Tiam1,Tiam1
,,Timeless,Timeless
,,Timm44,Timm44
,,Tjp2,Tjp2
,,Tkt,Tkt
,,Tlcd2,Tlcd2
,,Tle3,Tle3
,,Tlk1,Tlk1
,,Tlr1,Tlr1
,,Tlr7,Tlr7
,,Tmed3,Tmed3
,,Tmem110,Tmem110
,,Tmem134,Tmem134
,,Tmem138,Tmem138
,,Tmem141,Tmem141
,,Tmem147,Tmem147
,,Tmem149,Tmem149
,,Tmem154,Tmem154
,,Tmem180,Tmem180
,,Tmem19,Tmem19
,,Tmem194,Tmem194
,,Tmem198b,Tmem198b
,,Tmem201,Tmem201
,,Tmem48,Tmem48
,,Tmem65,Tmem65
,,Tmem67,Tmem67
,,Tmem70,Tmem70
,,Tmod2,Tmod2
,,Tmpo,Tmpo
,,Tmsb10,Tmsb10
,,Tnc,Tnc
,,Tnf,Tnf
,,Tnfaip1,Tnfaip1
,,Tnfaip8,Tnfaip8
,,Tnfaip8l1,Tnfaip8l1
,,Tnfaip8l2,Tnfaip8l2
,,Tnfrsf13b,Tnfrsf13b
,,Tnfrsf13c,Tnfrsf13c
,,Tnfrsf22,Tnfrsf22
,,Tnfrsf25,Tnfrsf25
,,Tnfrsf26,Tnfrsf26
,,Tnfrsf4,Tnfrsf4
,,Tnfrsf8,Tnfrsf8
,,Tnfsf11,Tnfsf11
,,Tnfsf14,Tnfsf14
,,Tnfsf4,Tnfsf4
,,Tnfsf8,Tnfsf8
,,Tnfsf9,Tnfsf9
,,Tnip1,Tnip1
,,Tnip2,Tnip2
,,Tnp2,Tnp2
,,Tnpo1,Tnpo1
,,Tnpo3,Tnpo3
,,Tns1,Tns1
,,Tob1,Tob1
,,Top1mt,Top1mt
,,Tor1aip2,Tor1aip2
,,Tor3a,Tor3a
,,Tpd52,Tpd52
,,Tpi1,Tpi1
,,Tpm4,Tpm4
,,Tpx2,Tpx2
,,Tra2a,Tra2a
,,Traf1,Traf1
,,Traip,Traip
,,Trappc6a,Trappc6a
,,Treml2,Treml2
,,Trim24,Trim24
,,Trim25,Trim25
,,Trim30a,Trim30a
,,Trim34a,Trim34a
,,Trim35,Trim35
,,Trim45,Trim45
,,Trim47,Trim47
,,Trim59,Trim59
,,Trip10,Trip10
,,Trmt1,Trmt1
,,Trmt61a,Trmt61a
,,Trp53,Trp53
,,Trp73,Trp73
,,Trpm2,Trpm2
,,Trub1,Trub1
,,Tsc22d1,Tsc22d1
,,Tspan3,Tspan3
,,Tspan31,Tspan31
,,Tspan32,Tspan32
,,Tsr1,Tsr1
,,Tsta3,Tsta3
,,Ttbk1,Ttbk1
,,Ttc13,Ttc13
,,Ttc27,Ttc27
,,Ttc39c,Ttc39c
,,Ttll10,Ttll10
,,Ttll12,Ttll12
,,Ttll13,Ttll13
,,Ttn,Ttn
,,Tuba1b,Tuba1b
,,Tuba8,Tuba8
,,Tubb4a,Tubb4a
,,Tubb5,Tubb5
,,Tubd1,Tubd1
,,Tube1,Tube1
,,Tufm,Tufm
,,Tulp4,Tulp4
,,Twist2,Twist2
,,Txlna,Txlna
,,Txn2,Txn2
,,Txnl4a,Txnl4a
,,Txnrd3,Txnrd3
,,Tyms-ps,Tyms-ps
,,Tyw3,Tyw3
,,U2af1l4,U2af1l4
,,Ubac2,Ubac2
,,Ube2c,Ube2c
,,Ube2cbp,Ube2cbp
,,Ube2l3,Ube2l3
,,Ubl3,Ubl3
,,Ubr2,Ubr2
,,Ubr5,Ubr5
,,Ubtf,Ubtf
,,Ubxn2b,Ubxn2b
,,Uchl4,Uchl4
,,Uck2,Uck2
,,Uhrf1,Uhrf1
,,Uhrf1bp1,Uhrf1bp1
,,Uhrf1bp1l,Uhrf1bp1l
,,Umps,Umps
,,Unc93b1,Unc93b1
,,Ung,Ung
,,Uros,Uros
,,Usp10,Usp10
,,Usp18,Usp18
,,Usp28,Usp28
,,Usp33,Usp33
,,Usp45,Usp45
,,Usp6nl,Usp6nl
,,Uspl1,Uspl1
,,Utp14a,Utp14a
,,Utp20,Utp20
,,Utrn,Utrn
,,Vars,Vars
,,Vash2,Vash2
,,Vasn,Vasn
,,Vdac1,Vdac1
,,Vim,Vim
,,Vipr1,Vipr1
,,Vipr2,Vipr2
,,Vkorc1,Vkorc1
,,Vps16,Vps16
,,Vps52,Vps52
,,Vsig10,Vsig10
,,Vta1,Vta1
,,Vwa5a,Vwa5a
,,Wbscr16,Wbscr16
,,Wdfy1,Wdfy1
,,Wdr34,Wdr34
,,Wdr38,Wdr38
,,Wdr4,Wdr4
,,Wdr43,Wdr43
,,Wdr46,Wdr46
,,Wdr55,Wdr55
,,Wdr73,Wdr73
,,Wdr77,Wdr77
,,Wdr82,Wdr82
,,Wdr89,Wdr89
,,Wdsub1,Wdsub1
,,Wfikkn2,Wfikkn2
,,Wibg,Wibg
,,Wipf3,Wipf3
,,Wnt1,Wnt1
,,Wnt3,Wnt3
,,Xbp1,Xbp1
,,Xcl1,Xcl1
,,Xpnpep1,Xpnpep1
,,Xrcc3,Xrcc3
,,Xrcc6,Xrcc6
,,Xrn2,Xrn2
,,Ydjc,Ydjc
,,Yif1b,Yif1b
,,Ythdf2,Ythdf2
,,Ywhae,Ywhae
,,Zbtb20,Zbtb20
,,Zbtb32,Zbtb32
,,Zbtb46,Zbtb46
,,Zc3h12c,Zc3h12c
,,Zc3h12d,Zc3h12d
,,Zc3hc1,Zc3hc1
,,Zcwpw1,Zcwpw1
,,Zdhhc13,Zdhhc13
,,Zdhhc3,Zdhhc3
,,Zfp108,Zfp108
,,Zfp161,Zfp161
,,Zfp180,Zfp180
,,Zfp202,Zfp202
,,Zfp213,Zfp213
,,Zfp259,Zfp259
,,Zfp280d,Zfp280d
,,Zfp296,Zfp296
,,Zfp36,Zfp36
,,Zfp36l1,Zfp36l1
,,Zfp386,Zfp386
,,Zfp422,Zfp422
,,Zfp428,Zfp428
,,Zfp493,Zfp493
,,Zfp507,Zfp507
,,Zfp516,Zfp516
,,Zfp53,Zfp53
,,Zfp623,Zfp623
,,Zfp846,Zfp846
,,Zfp867,Zfp867
,,Zfp947,Zfp947
,,Zfp948,Zfp948
,,Zfpm1,Zfpm1
,,Zfyve19,Zfyve19
,,Zhx2,Zhx2
,,Zkscan5,Zkscan5
,,Zmat5,Zmat5
,,Zmiz2,Zmiz2
,,Znf512b,Znf512b
,,Zscan10,Zscan10
,,Zscan12,Zscan12
,,Zswim7,Zswim7
,,Zxdc,Zxdc
,,Zzz3,Zzz3
