Safford_anergy,Parish_deletional_tolerance,Miao_Egr2,Zheng_Egr2
,,Lacc1,
,,Gm4814,
,,Cd83,
,,Scrn2,
,,6330403K07Rik,
,,Ndrg2,
,,Slamf6,
,,Txnrd2,
,,Zscan2,
,,Cbarp,
,,Slc25a13,
,,Mir6999,
,,1500011K16Rik,
,,Gbas,
,,Thop1,
,,St8sia6,
,,Gadd45b,
,,Crtc1,
,,C030037D09Rik,
,,Ppp1r13l,
,,Tst,
,,Gm10406,
,,Gm13051,
,,Hs1bp3,
,,Ick,
,,Wbscr16,
,,Maged2,
,,Sgsm2,
,,Aim2,
,,Pkhd1l1,
,,9230110C19Rik,
,,Zfr2,
,,Cep83os,
,,Gm4890,
,,BC049352,
,,Abhd17c,
,,Lonrf1,
,,Hacl1,
,,Akr7a5,
,,Vsig10,
,,Rgs16,
,,Spo11,
,,Glo1,
,,Erf,
,,Dpy19l3,
,,Mrps6,
,,Tmem88,
,,Mrpl15,
,,Ggt7,
,,Repin1,
,,Fam222a,
,,Gnl1,
,,Nfkbid,
,,Zmym4,
,,Ocrl,
,,Nagk,
,,F2rl1,
,,Tubb2b,
,,Hectd2,
,,Hyal2,
,,Gm3002,
,,Tmem198b,
,,Dynlt3,
,,H2-DMa,
,,4930520O04Rik,
,,Pcx,
,,Mxra8,
,,Acsf3,
,,Pik3r2,
,,Plekhg2,
,,Zfp362,
,,Plekhg5,
,,Phgdh,
,,Msrb2,
,,Zmym3,
,,L2hgdh,
,,Brdt,
,,Senp8,
,,Gstt3,
,,A930005H10Rik,
,,Cdc23,
,,Bcl6,
,,Smco4,
,,Oas1g,
,,Pafah1b3,
,,Cass4,
,,Gm3383,
,,Agbl5,
,,Scarb1,
,,Gm5796,
,,Jup,
,,Cdca7,
,,Tmem106c,
,,2810408A11Rik,
,,Plekha7,
,,Tspan5,
,,Klc3,
,,Wdfy2,
,,Npepl1,
,,Gm5088,
,,Dnph1,
,,Psmg1,
,,Cask,
,,Arsg,
,,Gipc1,
,,Bag2,
,,Gnb1l,
,,Tubb2a,
,,Ccdc28b,
,,Prkaca,
,,Farp2,
,,Dhx34,
,,Tmco4,
,,Exoc3,
,,Rab11fip1,
,,2610042L04Rik,
,,Isg15,
,,Gng12,
,,Clstn1,
,,Tanc2,
,,Slc52a2,
,,Gm13152,
,,Stx6,
,,Oas1a,
,,Slc5a3,
,,Bcl2a1d,
,,Gm10409,
,,Rcc2,
,,Angptl2,
,,Myo1h,
,,Tubb6,
,,Nudt14,
,,Mboat7,
,,Gemin8,
,,Ccdc126,
,,Nudt2,
,,Mcur1,
,,Naglu,
,,Zfyve28,
,,Dnmt3a,
,,Spata24,
,,Gm13242,
,,Fam109a,
,,Slc25a1,
,,9030025P20Rik,
,,Ndufaf6,
,,Ssbp3,
,,1700052K11Rik,
,,Clec16a,
,,Pank4,
,,C030034L19Rik,
,,Coro2b,
,,Axl,
,,Mfsd3,
,,Cd101,
,,Gemin6,
,,Eif4ebp1,
,,Ece1,
,,Tmem201,
,,Dpp4,
,,Endod1,
,,Bri3bp,
,,Cln6,
,,E130307A14Rik,
,,Vti1a,
,,Cers6,
,,Ankrd46,
,,Rhbdd3,
,,Ung,
,,Slfn9,
,,Pgm2,
,,Prcp,
,,Bzw2,
,,Lrrc29,
,,4930539E08Rik,
,,Iffo2,
,,Gna12,
,,Cryl1,
,,Gm10845,
,,Slc6a8,
,,Emp1,
,,Pld2,
,,Slc2a3,
,,Gm9159,
,,Nmrk1,
,,Rhoc,
,,Cep162,
,,Dennd5a,
,,Ctsh,
,,Chpt1,
,,Edaradd,
,,Pydc3,
,,Aim1,
,,Eif4e3,
,,Tbc1d2,
,,Gzmm,
,,Gpr137b-ps,
,,Btg3,
,,Fam160a2,
,,Lrp11,
,,Ppp3ca,
,,Rab4a,
,,Arsb,
,,Gbp7,
,,Pelo,
,,Arid5a,
,,Lgals1,
,,2900026A02Rik,
